chain_code,chain_name,enabled,source_type,source_url,source_tags,payment_tags,first_seen_at,last_seen_at,deleted_at,notes
,イトーヨーカ堂／アリオ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 百貨店・モール
,イトーヨーカ堂／イトーヨーカドー,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: スーパーマーケット・ホームセンター
,イトーヨーカ堂／グランツリー,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 百貨店・モール
,イトーヨーカ堂／プライムツリー,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 百貨店・モール
,イトーヨーカ堂／ポッポ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,ウェンディーズ・ファーストキッチン,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
welcia,ウエルシア,TRUE,manual,,smart_code_site,smart_code,2026-03-14,2026-03-14,,
,ウエルシア薬局,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: ドラッグストア・薬局
,エディオン,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 家電
,オーケー,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: スーパーマーケット・ホームセンター
,オータニ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: スーパーマーケット・ホームセンター
,オートバックス,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: その他ショッピング
,カクヤス,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: その他ショッピング
,カワチ薬品,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: ドラッグストア・薬局
,ガスト,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,キタノイチバ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,キラリナ京王吉祥寺,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 百貨店・モール
,キリンビアファーム,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,キリン堂,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: ドラッグストア・薬局
,クルーズクルーズ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,グランベリーパーク,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 百貨店・モール
,グローバル治療院,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: その他サービス
,ケンタッキーフライドチキン,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,ケーズデンキ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 家電
,コクミン,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: ドラッグストア・薬局
,コスメティクスアンドメディカル,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: ドラッグストア・薬局
,コナカ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 服飾
,コメダ珈琲店,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,コメリ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: スーパーマーケット・ホームセンター
,コーナン,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: スーパーマーケット・ホームセンター
,サツドラ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: ドラッグストア・薬局
sundrug,サンドラッグ,TRUE,manual,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,
,サンプラザ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: スーパーマーケット・ホームセンター
,ザ・ニッカバー,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,シェーキーズ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,シカゴピザ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,シズラー,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,シージャック,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,ジャパン,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: その他ショッピング
,ジャンカラ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: レジャー・アミューズメント
,ジョイナス,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 百貨店・モール
,ジョイフルエーケー,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: スーパーマーケット・ホームセンター
,ジョナサン,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,ジョーシン,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 家電
,スギドラッグ,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: ドラッグストア・薬局
,スギヤマ薬品,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: ドラッグストア・薬局
