shop_id,chain_code,chain_name,shop_name,address,lat,lng,payment_tags,source_url
blue-tag-shop-a1bb48feb2,blue-tag,タクシー,一番株式会社,大阪府大阪市　中央区本町3-4-8東京建物本町ビル地下1階,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-4e56d56507,blue-tag,宴会・パーティ,一粋,兵庫県赤穂市加里屋南2-8,,,blue_tag,https://ako-issui.jp/
blue-tag-shop-5f55a1b18d,blue-tag,その他,七尾駅観光案内所,石川県七尾市御祓町イ28七尾駅,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-a2fea97f06,blue-tag,ジュエリー,三光舎時計舗,大阪府大阪市　住之江区粉浜2-11-17,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-dcee6dcefc,blue-tag,タクシー,三原交通株式会社,岡山県倉敷市阿知1-1-1さんすて倉敷２階,,,blue_tag,https://www.miharakotsu.co.jp/
blue-tag-shop-8bc32ae1c6,blue-tag,タクシー,三和交通株式会社,愛媛県宇和島市高串3-58,,,blue_tag,https://www.30-gr.co.jp/company
blue-tag-shop-f62be95a20,blue-tag,宿泊施設,三朝館,鳥取県東伯郡三朝町山田174,,,blue_tag,https://www.misasakan.co.jp/
blue-tag-shop-c1cdf9adc8,blue-tag,タクシー,中国タクシー株式会社,岡山県倉敷市児島下の町5-2-70,,,blue_tag,https://www.chutaku.co.jp/
blue-tag-shop-c5e981e78e,blue-tag,カフェ,中央茶廊,石川県七尾市一本杉町104仮設店舗内,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-3e613b1be9,blue-tag,食料品,中林商店,広島県府中市府中町１４７,,,blue_tag,https://asabikidori.jp
a-3046bf08fd,blue-tag,総合ショッピング,中野うどん学校琴平校A館,香川県仲多度郡　琴平町796番地中野うどん学校A館,,,blue_tag,https://www.nakanoya.net/nakanoudon/
b-1cd74fe9f4,blue-tag,総合ショッピング,中野うどん学校琴平校B館,香川県仲多度郡　琴平町720番地中野うどん学校B館,,,blue_tag,https://www.nakanoya.net/nakanoudon/
blue-tag-shop-916c5bae5f,blue-tag,居酒屋・バー,串かつ　中秀,大阪府豊中市服部　豊町2丁目13-6,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-8a92ecb937,blue-tag,居酒屋・バー,串かつきんぐ,和歌山県和歌山市太田95-3,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-722639ea2a,blue-tag,居酒屋・バー,串かつわいず,広島県広島市　西区横川町3-4-14,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-a48ccc5e13,blue-tag,居酒屋・バー,串カツ居酒屋明日への克力,大阪府大阪市住之江区南港北2-1-10ATCオズ棟北館３階,,,blue_tag,https://www.atc-co.com/restaurant/asuenokatsuryoku/
rin-5f75ef8376,blue-tag,専門料理店,串創作料理Rin,大阪府大阪市　北区天神橋4-8-14カウラナビル2F,,,blue_tag,https://sosakurin.rins-style.com/
